gene_id	RBP_only_corr	RBP_and_lncRNA_corr
ENSG00000213445	0.06977	0.05672
ENSG00000175197	0.03086	0.06719
ENSG00000204469	0.27439	0.26789
ENSG00000101940	0.23895	0.23049
ENSG00000126458	0.54709	0.54585
ENSG00000105707	0.07394	0.05926
ENSG00000126368	0.16277	0.17215
ENSG00000183087	0.24027	0.23959
ENSG00000187193	0.10234	0.09411
ENSG00000160799	0.05106	0.03925
ENSG00000147251	0.18758	0.18782
ENSG00000163932	0.34132	0.33702
ENSG00000143545	0.47904	0.48188
ENSG00000197933	0.13341	0.13647
ENSG00000122257	0.45042	0.45117
ENSG00000136997	0.28254	0.27572
ENSG00000132323	0.13599	0.13961
ENSG00000102226	0.1813	0.17849
ENSG00000123358	0.00749	0.01122
ENSG00000117318	0.2067	0.20155
ENSG00000027697	0.08225	0.06559
ENSG00000157873	0.16751	0.13718
ENSG00000125503	0.11752	0.13468
ENSG00000070047	0.22316	0.21365
ENSG00000174718	0.41435	0.41596
ENSG00000174938	0.24698	0.23808
ENSG00000116871	0.52109	0.51706
ENSG00000114315	0.1359	0.12119
ENSG00000008869	0.5583	0.56284
ENSG00000120129	0.38643	0.39136
ENSG00000156983	0.21353	0.2077
ENSG00000065154	0.13827	0.10609
ENSG00000008405	0.3048	0.3124
ENSG00000079432	0.23146	0.2265
ENSG00000125968	0.4239	0.42036
ENSG00000157613	0.2684	0.26585
ENSG00000168216	0.20481	0.19916
ENSG00000162736	0.0893	0.12831
ENSG00000172216	0.27587	0.25924
ENSG00000116266	0.08318	0.10812
ENSG00000196422	0.21138	0.19671
ENSG00000060069	0.08582	0.08947
ENSG00000177728	0.23603	0.23409
ENSG00000131669	0.27095	0.2676
ENSG00000115738	0.19354	0.20129
ENSG00000119139	0.27061	0.26329
ENSG00000169242	0.09561	0.04299
ENSG00000175130	0.30922	0.3203
ENSG00000072182	0.13904	0.1761
ENSG00000177303	0.28548	0.28562
ENSG00000100109	0.14863	0.13971
ENSG00000142655	0.43934	0.43382
ENSG00000083857	0.29185	0.2868
ENSG00000141582	0.11228	0.1014
ENSG00000126705	0.47408	0.47433
ENSG00000179431	0.38377	0.3783
ENSG00000120075	0.00872	0.0254
ENSG00000121104	0.35455	0.37036
ENSG00000168758	0.16632	0.16698
ENSG00000167716	0.06237	0.07417
ENSG00000160271	0.32254	0.34299
ENSG00000072071	0.25414	0.2448
ENSG00000152804	0.06924	0.06823
ENSG00000175556	-0.01651	0.02154
ENSG00000020256	0.11655	0.0968
ENSG00000165359	0.21547	0.2315
ENSG00000116580	0.35388	0.35734
ENSG00000198793	0.32437	0.32166
ENSG00000139182	0.28678	0.30942
ENSG00000185236	0.23523	0.22436
ENSG00000115310	0.42616	0.4205
ENSG00000127870	0.13805	0.1363
ENSG00000128917	0.176	0.19738
ENSG00000065526	0.47812	0.49275
ENSG00000130827	0.28559	0.30975
ENSG00000143862	0.04827	0.06375
ENSG00000106537	-0.16176	-0.16895
ENSG00000100906	0.09727	0.07253
ENSG00000101474	0.30658	0.30229
ENSG00000110514	0.33655	0.34701
ENSG00000147364	0.28573	0.28265
ENSG00000164695	0.08591	0.11475
ENSG00000175348	0.28531	0.2704
ENSG00000172071	0.29984	0.30719
ENSG00000052841	0.11513	0.1436
ENSG00000148296	0.17923	0.18191
ENSG00000188313	0.10033	0.11685
ENSG00000105856	0.11948	0.11053
ENSG00000102100	0.24639	0.23035
ENSG00000162909	0.47412	0.46885
ENSG00000043355	0.13504	0.11821
ENSG00000132002	0.20816	0.1989
ENSG00000103326	0.11958	0.11124
ENSG00000109099	0.39289	0.39428
ENSG00000092820	0.1529	0.14311
ENSG00000163162	0.17759	0.19066
ENSG00000119715	0.19906	0.20785
ENSG00000102804	0.09898	0.11422
ENSG00000112812	0.21166	0.20638
ENSG00000162298	0.11248	0.15519
ENSG00000134049	0.19325	0.18517
ENSG00000166831	0.11069	0.10489
ENSG00000101230	0.00346	0.02178
ENSG00000034053	0.04733	0.05613
ENSG00000117616	0.23339	0.27306
ENSG00000147050	0.34566	0.35483
ENSG00000104763	0.11793	0.10857
